country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more,gdp_per_capita,region_geo
Albania,ALB,2024,2278004.0,Europe & Central Asia (excluding high income),Upper middle income,0.460692506,0.460692506,,41.1560488283684,51.4508986584924,30.1748781570827,56.6571758065027,26.2017574802131,62.2576595866938,11377.7757431099,Europe & Central Asia
Algeria,DZA,2024,32019804.0,Middle East & North Africa (excluding high income),Lower middle income,0.352901069,0.352901069,,18.0709885603285,51.8629151446207,31.248963734877,37.9769930072596,25.0171288171979,38.8389220041372,5752.99076651465,"Middle East, North Africa, Afghanistan & Pakistan"
Argentina,ARG,2024,35433130.0,Latin America & Caribbean (excluding high income),Upper middle income,0.817442447,0.728989947,0.567395437,84.2497432521024,78.939553062565,74.6649664777064,86.4417641162173,62.9313926179087,88.2990052725598,13969.7836603737,Latin America & Caribbean 
Armenia,ARM,2024,2406318.0,Europe & Central Asia (excluding high income),Upper middle income,0.713734735,0.705332707,0.173602692,67.9879799098157,75.5669244748589,64.0431618561374,76.237141203434,57.4522223529168,72.6496184207406,8556.21406956719,Europe & Central Asia
Australia,AUS,2024,21852264.0,High income,High income,0.980103778,0.980103778,,97.7243209573911,98.3026509430008,96.8175014225166,98.806206248416,83.7759315262171,98.4907262732719,64603.9856308464,East Asia & Pacific
Austria,AUT,2024,7825678.0,High income,High income,0.995084975,0.995084975,,99.1873269882702,99.8378902484104,99.1909686711131,99.7193237132866,100.0,99.469280857145,58268.8787651601,Europe & Central Asia
Azerbaijan,AZE,2024,7885113.0,Europe & Central Asia (excluding high income),Upper middle income,0.563046655573957,0.563046655573957,,46.1732591791453,67.0043773076741,41.1579115269579,66.3794766487029,39.9877544909509,58.623904682475,7283.8499076179,Europe & Central Asia
Bahrain,BHR,2024,1277545.0,High income,High income,0.823220521,0.823220521,,83.0178852537418,81.9582393316251,77.338312091395,85.6405687623755,68.0918556590376,84.6367058620065,29653.5682731534,"Middle East, North Africa, Afghanistan & Pakistan"
Bangladesh,BGD,2024,122837439.0,South Asia (excluding high income),Lower middle income,0.432839733,0.329478937,0.207683726,33.346000280938,53.5110284170371,35.5467073317195,48.1890552430875,31.1710966547941,50.2705197195129,2593.41611680774,South Asia
Belgium,BEL,2024,9867164.0,High income,High income,0.982369093,0.982369093,,97.9206258791414,98.5689342561123,98.7161845506194,97.9177344321467,87.7610686377246,98.7376657340487,56614.5679499036,Europe & Central Asia
Belize,BLZ,2024,300138.0,Latin America & Caribbean (excluding high income),Upper middle income,0.679682002,0.673044577,0.136663451,65.1819147470622,71.0650824980445,63.7647608887268,70.7706158218454,55.3456424872489,78.8154652540576,7681.24400583113,Latin America & Caribbean 
Benin,BEN,2024,8207504.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.51843206,0.199061778,0.448728519,49.0557470327837,55.0161875100971,41.5027170713603,58.7139781551407,47.4267246678506,65.9656197631234,1485.38018885134,Sub-Saharan Africa 
Bolivia,BOL,2024,8553476.0,Latin America & Caribbean (excluding high income),Lower middle income,0.568490527,0.534880593,0.199779285,53.4638307501513,60.3300944738612,45.5603933987213,64.3795839566536,35.7767584115646,66.7000735025256,4421.16609889999,Latin America & Caribbean 
Bosnia and Herzegovina,BIH,2024,2764009.0,Europe & Central Asia (excluding high income),Upper middle income,0.774588923,0.774588923,,75.7475848321622,79.2625398663884,70.3836261798032,82.1463467698178,53.8036260216178,90.2960567775263,9358.78768951134,Europe & Central Asia
Botswana,BWA,2024,1679590.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.614384691,0.416043564,0.516178157,59.6866154697314,63.5502088098335,49.4372680058526,69.3996817259625,52.0096971067019,65.8584095790973,7695.75319445165,Sub-Saharan Africa 
Brazil,BRA,2024,169047814.0,Latin America & Caribbean (excluding high income),Upper middle income,0.863811782,0.855727692,0.581666157,82.2763902255203,90.853585329865,78.0975446578644,91.8922107287555,71.6929943652081,93.5431124318702,10310.5488778166,Latin America & Caribbean 
Bulgaria,BGR,2024,5509377.0,Europe & Central Asia (excluding high income),Upper middle income,0.84724395,0.84724395,,85.0429744458305,84.369484033824,77.655004985327,89.4347563808868,58.0861482875189,91.7009244542672,17596.0173663521,Europe & Central Asia
Burkina Faso,BFA,2024,13262560.0,Sub-Saharan Africa (excluding high income),Low income,0.514274912,0.205498915,0.441573641,43.9890405155106,59.7853698647921,38.5347843936538,60.0238737184782,45.0746148949737,74.9542623117149,981.992649769081,Sub-Saharan Africa 
Cambodia,KHM,2024,12177453.0,East Asia & Pacific (excluding high income),Lower middle income,0.390314429,0.372688785,0.168896941,36.7988836964306,41.5805707422137,28.1273292851866,46.3195339556785,33.5778460367908,62.8262340389715,2627.87969756224,East Asia & Pacific
Cameroon,CMR,2024,16524096.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.608737909,0.209972994,0.550654518,52.8996933484284,69.3553577956512,44.8919869724807,71.5008862833248,44.5698910414234,77.265931270629,1830.00833684727,Sub-Saharan Africa 
Canada,CAN,2024,33960981.0,High income,High income,0.984047126,0.984047126,,98.7513672334689,98.0567378578269,98.6214334795616,98.2605668641953,100.0,98.4837642577956,54340.3477224733,North America
Chad,TCD,2024,10289880.0,Sub-Saharan Africa (excluding high income),Low income,0.208983599,0.150020898,0.133358944,20.1401531546613,21.6937637839192,21.0676398615485,20.7856126019284,18.3470322270644,41.983261515031,961.55975562506,Sub-Saharan Africa 
Chile,CHL,2024,16241277.0,High income,High income,0.850691778,0.850691778,,83.1703645529934,87.0892601301665,75.3603235793929,91.5259074392891,66.2858067902049,91.3962278513464,16709.8893972307,Latin America & Caribbean 
China,CHN,2024,1176678702.0,East Asia & Pacific (excluding high income),Upper middle income,0.89383032,0.89383032,,89.2021200745424,89.5550580073499,82.7432333438411,93.8015738218757,84.4097441140546,94.4530338656865,13303.1481543868,East Asia & Pacific
Colombia,COL,2024,41544122.0,Latin America & Caribbean (excluding high income),Upper middle income,0.570594856,0.433789765,0.391465593,50.9915484901848,63.6600565851691,42.9248421374649,66.4939466930288,36.2169124867103,64.5053110770092,7919.20886825345,Latin America & Caribbean 
Comoros,COM,2024,532331.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.454593974,0.408476637,0.140937863,41.8394427057053,49.6024719511375,35.0109004446953,52.4204683962579,42.8157348161451,48.4504867168151,1662.75663312504,Sub-Saharan Africa 
"Congo, Dem. Rep.",COD,2024,57033055.0,Sub-Saharan Africa (excluding high income),Low income,0.392140115,0.135068648,0.351182388,33.4561427829617,44.5944458590314,26.5410578898936,47.6624830131691,20.2990088577027,46.8452967546171,649.383338556725,Sub-Saharan Africa 
"Congo, Rep.",COG,2024,3655093.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.555760388,0.147200014,0.515921177,50.5916393453064,60.5586391455265,41.7082699764933,64.8105386376969,41.5459904367302,66.3434229182466,2482.2489948456,Sub-Saharan Africa 
Costa Rica,CRI,2024,4118576.0,Latin America & Caribbean (excluding high income),Upper middle income,0.713527071,0.713527071,,68.2829497651369,74.5207849178286,62.8158143627092,77.0355519866568,53.537492398604,81.0607807718616,18587.1532203482,Latin America & Caribbean 
Cote d'Ivoire,CIV,2024,18301587.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.57567627,0.168252205,0.533817788,53.8175498364075,61.2027446506055,43.526253371749,66.9277520980539,49.4886789469068,75.037189495848,2727.8935220697,Sub-Saharan Africa 
Croatia,HRV,2024,3313982.0,High income,High income,0.926404988,0.926404988,,92.0623021221886,93.2809278566284,87.6323883407511,95.9709470026774,71.4641662507071,98.3126962727022,24050.4397933135,Europe & Central Asia
Cyprus,CYP,2024,1129055.0,High income,High income,0.961259313,0.961259313,,98.030865941963,94.2661652599799,94.1780470487871,97.4302689975268,99.2932159905865,95.9011797907229,38674.29296875,Europe & Central Asia
Czechia,CZE,2024,9161251.0,High income,High income,0.922832885,0.922832885,,89.6799815747657,94.9873961522011,85.6046020555067,96.70520540927,74.7505327942407,94.8443525817478,31823.3078290564,Europe & Central Asia
Denmark,DNK,2024,5003352.0,High income,High income,0.986505141,0.986505141,,98.1098068895589,99.1898637549239,97.7544565980559,99.2463886530811,100.0,98.595093327585,71026.4832271897,Europe & Central Asia
Dominican Republic,DOM,2024,8281568.0,Latin America & Caribbean (excluding high income),Upper middle income,0.647779639,0.632920319,0.180158284,61.4376464055556,68.2420115558674,52.9502779958097,72.6289032823007,49.6430092514148,73.4886801352593,10875.6618443092,Latin America & Caribbean 
Ecuador,ECU,2024,13484219.0,Latin America & Caribbean (excluding high income),Upper middle income,0.645052104,0.639477053,0.100848646,63.5126837380937,65.5985687316865,56.4453858938692,69.8771073200755,50.0900332207873,72.077355955035,6874.705739766,Latin America & Caribbean 
"Egypt, Arab Rep.",EGY,2024,77385958.0,Middle East & North Africa (excluding high income),Lower middle income,0.431134368,0.352735535,0.156072041,40.2142182329493,45.9509692862618,33.080949427223,49.7821903737145,38.465775192039,48.316807636606,3338.47371395895,"Middle East, North Africa, Afghanistan & Pakistan"
El Salvador,SLV,2024,4718943.0,Latin America & Caribbean (excluding high income),Lower middle income,0.434036649,0.428629057,0.058435819,34.4359210784078,54.692513354909,24.7330513543203,55.8448627077973,36.5077190923242,56.7958580555388,5579.65969165029,Latin America & Caribbean 
Estonia,EST,2024,1151475.0,High income,High income,0.989011091,0.989011091,,99.7660187107038,97.9279393113948,98.0471531434544,99.4701575690419,96.6937364545843,99.3894418016447,31428.3547816104,Europe & Central Asia
Eswatini,SWZ,2024,816208.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.651160267,0.431356222,0.504069176,65.3509471878412,64.809563032207,54.4790274550679,72.2174466814621,59.6975068525002,69.9289637512945,3909.55892378182,Sub-Saharan Africa 
Ethiopia,ETH,2024,78031387.0,Sub-Saharan Africa (excluding high income),Low income,0.488302768,0.484704021,0.094548896,41.6159713320994,56.5265673875994,42.5762685391233,52.9919326224592,41.729944069262,79.952447680989,1133.88279681719,Sub-Saharan Africa 
Finland,FIN,2024,4749954.0,High income,High income,0.998426818,0.998426818,,99.6891240901934,100.0,100.0,99.7377296216944,100.0,99.7926317518739,53149.7671934051,Europe & Central Asia
France,FRA,2024,56825584.0,High income,High income,0.991902372,0.991902372,,99.848494933374,98.4892614438192,98.7136082123328,99.5083961213691,98.0800344270783,99.3608082898503,46103.0840855884,Europe & Central Asia
Gabon,GAB,2024,1573811.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.681812563,0.248315312,0.616415501,63.7213310835604,72.417329210808,59.956979111285,73.6690786646814,58.1118867189379,78.206881213861,8230.04311451151,Sub-Saharan Africa 
"Gambia, The",GMB,2024,1598990.0,Sub-Saharan Africa (excluding high income),Low income,0.381609042,0.308469116,0.190885438,34.8624918566457,41.7268890189075,34.4089976084921,40.6598827195065,26.434029718765,55.0348961632985,871.340291776294,Sub-Saharan Africa 
Georgia,GEO,2024,2933716.0,Europe & Central Asia (excluding high income),Upper middle income,0.788236411,0.788236411,,81.2949686953077,75.9235668308751,69.1241033260113,85.2884297115512,52.0302386858618,82.2820679585006,9241.49122313713,Europe & Central Asia
Germany,DEU,2024,71691113.0,High income,High income,0.982983236,0.982983236,,98.873065264332,97.6782654275893,98.5525412015415,98.1287844376437,100.0,98.1929166907385,56103.7323182554,Europe & Central Asia
Ghana,GHA,2024,21563813.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.812430252,0.387411034,0.782813635,78.3104466801133,84.4194236475985,69.5783204095408,89.0315781082249,67.88099013833,89.3603080489269,2390.77237652715,Sub-Saharan Africa 
Greece,GRC,2024,8991800.0,High income,High income,0.885519759,0.885519759,,84.0948713682466,93.2644888438885,79.597500484544,94.5266580395786,80.6661969723101,89.5541648826708,24626.1481858973,Europe & Central Asia
Guatemala,GTM,2024,12299923.0,Latin America & Caribbean (excluding high income),Upper middle income,0.382819484,0.375315801,0.03300105,32.5013354493048,44.6496505663004,28.3362046477051,44.8814148458965,28.4234840229176,50.0904765752146,6150.02571438505,Latin America & Caribbean 
Guinea,GIN,2024,8464230.0,Sub-Saharan Africa (excluding high income),Low income,0.36048025,0.169033571,0.258219395,31.2380546293167,40.8599709353785,29.3012686641546,40.5177154215811,29.1834302604183,63.4669777457274,1694.95375862193,Sub-Saharan Africa 
Honduras,HND,2024,7345357.0,Latin America & Caribbean (excluding high income),Lower middle income,0.424429707,0.39273054,0.108892565,34.0839092123123,52.7899759195543,33.70730362306,48.2404991347721,32.5856754067295,61.4884162358046,3426.43483328923,Latin America & Caribbean 
"Hong Kong SAR, China",HKG,2024,6729811.0,High income,High income,0.973080247,0.973080247,,96.7510977577504,97.9944921224797,93.7664847121074,99.6574393780457,93.4275524548894,98.4932713001205,54074.6928519479,East Asia & Pacific
Hungary,HUN,2024,8202714.0,High income,High income,0.869605631,0.869605631,,83.709713865767,90.5416666845822,78.8623054417773,92.3576075400005,72.4452650984766,89.9129184767456,23292.3263882478,Europe & Central Asia
Iceland,ISL,2024,322325.0,High income,High income,0.998548358,0.998548358,,99.7045440269947,100.0,100.0,99.758129016103,100.0,99.7740688015962,86040.5309851288,Europe & Central Asia
India,IND,2024,1077731602.0,South Asia (excluding high income),Lower middle income,0.890248225,0.886553603,0.231007554,89.2482328079147,88.8052472379392,86.3166812876253,90.8311710525466,87.0775161460382,93.1356957731427,2694.73780859961,South Asia
Indonesia,IDN,2024,211076339.0,East Asia & Pacific (excluding high income),Lower middle income,0.563278494,0.523919069,0.220129024,58.0308451514518,54.6388118836053,48.4188044924569,61.5891424502096,37.6382055660655,68.3276706855368,4925.43048751861,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2024,69914781.0,Middle East & North Africa (excluding high income),Lower middle income,0.910610045,0.910610045,0.131040105,86.7880629225257,95.3254505893739,86.8646774136072,93.8593399852516,83.5549189709626,94.1351572731291,5190.16959024821,"Middle East, North Africa, Afghanistan & Pakistan"
Iraq,IRQ,2024,28355455.0,Middle East & North Africa (excluding high income),Upper middle income,0.301610518,0.282661963,0.118649863,18.8101424848699,40.7785224794308,20.2214445724835,36.7811554429236,19.8681618947349,42.2564666797766,6073.61032342708,"Middle East, North Africa, Afghanistan & Pakistan"
Ireland,IRL,2024,4298252.0,High income,High income,0.982929182,0.982929182,,96.9297997806724,99.6508190397291,99.0245742017698,97.8051699617657,92.9210412523047,98.5504330618525,112894.953240805,Europe & Central Asia
Israel,ISR,2024,7062352.0,High income,High income,0.892691974,0.892691974,,88.0997205658934,90.4755385428348,80.3519531382311,95.2144131110401,70.5506295977132,90.1348814700177,54176.6844383302,"Middle East, North Africa, Afghanistan & Pakistan"
Italy,ITA,2024,51829051.0,High income,High income,0.860191093,0.860191093,,79.7946783289735,92.6338802740803,82.1215678248643,88.5999558685771,74.5881587033891,94.4796602775869,40385.3413957669,Europe & Central Asia
Japan,JPN,2024,110011344.0,High income,High income,0.985235592,0.985235592,,98.723135316154,98.3131609217015,97.6785123935915,99.0854185347709,97.5868079174503,98.8620554132254,32487.0778047567,East Asia & Pacific
Jordan,JOR,2024,7867178.0,Middle East & North Africa (excluding high income),Upper middle income,0.464573138,0.395770643,0.205639167812616,36.2234645848992,55.9196759817473,35.7152731126413,53.6178921345115,37.8853728938152,48.4374629257723,4618.09592498567,"Middle East, North Africa, Afghanistan & Pakistan"
Kazakhstan,KAZ,2024,14324777.0,Europe & Central Asia (excluding high income),Upper middle income,0.870486447,0.84197223,0.488575255,85.7420594770372,88.5002867646321,83.3413414717717,89.5146092807647,58.0864652855816,91.2365697346181,14154.6324958076,Europe & Central Asia
Kenya,KEN,2024,34616135.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.901199174,0.454278444,0.874994113,86.5155344015748,93.8895090496553,83.8761640610762,94.2665957730421,81.6639771317455,94.2597629382282,2132.43452097647,Sub-Saharan Africa 
"Korea, Rep.",KOR,2024,46039322.0,High income,High income,0.968949449,0.96743749,0.601022033,97.1396146066269,96.6472206696843,94.1886846132518,98.6932211942982,87.409430015156,98.6856130151133,36238.639908315,East Asia & Pacific
Kosovo,XKX,2024,1382360.0,Europe & Central Asia (excluding high income),Upper middle income,0.641617722,0.641617722,,59.7945017831686,68.7587019450215,66.6871161691135,62.4781675623885,59.8441169843768,69.6424096949818,7023.06598512878,Europe & Central Asia
Kuwait,KWT,2024,3950546.0,High income,High income,0.744578561,0.744578561,,71.4890462652269,76.0569953890037,63.6048709496818,81.694544625606,57.3478608172479,76.1196680526543,32717.7186631255,"Middle East, North Africa, Afghanistan & Pakistan"
Kyrgyz Republic,KGZ,2024,4780143.0,Europe & Central Asia (excluding high income),Lower middle income,0.722642376,0.699585473,0.310351086,71.235055996936,73.3780750915794,65.5888049897545,76.6989988232727,50.4794589409373,75.8871883080716,2420.18542283831,Europe & Central Asia
Lao PDR,LAO,2024,5322750.0,East Asia & Pacific (excluding high income),Lower middle income,0.376501969,0.372299012,0.118384277,43.5865025443192,31.7099790252873,18.2733611108504,50.5576529246622,27.3433718636427,62.2374310460403,2123.97909415109,East Asia & Pacific
Latvia,LVA,2024,1582835.0,High income,High income,0.9497331,0.9497331,,95.4063945490497,94.4387277334092,91.6439398308994,97.1909689409365,85.6687002281525,97.4694202455323,23409.0845154775,Europe & Central Asia
